                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5823,                 3.1124,                 1.1947,                0.87741,                0.25243,                0.47847,                0.24668,                 1.3229,                 3.3326,                 1.0702,              0.0004065,              0.0004065,              0.0004065
                      2,                 1.4221,                 1.4002,                 1.1272,                0.80603,                0.32302,                0.70517,                0.41416,                 1.3753,                 2.5238,                 1.1568,             0.00066018,             0.00066018,             0.00066018
                      3,                 1.3282,                 1.1685,                 1.0886,                0.78034,                0.70851,                0.76802,                0.42591,                 1.5305,                 1.6456,                 1.2374,             0.00074886,             0.00074886,             0.00074886
                      4,                 1.2573,                 1.0322,                 1.0594,                0.81123,                0.84874,                0.89086,                0.57683,                  1.215,                 1.1444,                 1.0669,              0.0005075,              0.0005075,              0.0005075
                      5,                 1.2234,                0.97964,                 1.0354,                 0.8874,                0.89727,                0.92783,                0.59949,                 1.1736,                0.96876,                 1.0538,                0.00026,                0.00026,                0.00026
