                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5752,                 2.4395,                 1.2046,                0.89126,                0.69167,                0.82648,                0.50762,                 1.3857,                 2.0278,                 1.2694,             0.00041311,             0.00041311,             0.00041311
                      2,                 1.3375,                 1.1477,                 1.1006,                0.89353,                0.81028,                0.88819,                0.55379,                  1.348,                 1.8154,                 1.2977,             0.00066548,             0.00066548,             0.00066548
                      3,                 1.2887,                 1.0408,                 1.0702,                0.90959,                0.84429,                0.92091,                0.58788,                  1.265,                 1.2093,                 1.1832,             0.00075285,             0.00075285,             0.00075285
                      4,                 1.2766,                0.95362,                  1.057,                0.93203,                0.87908,                0.94074,                 0.6369,                  1.155,                 1.0129,                 1.1305,              0.0005075,              0.0005075,              0.0005075
                      5,                 1.1668,                0.85212,                 1.0184,                0.93767,                0.88611,                0.94607,                0.65055,                 1.0813,                0.91977,                 1.0904,                0.00026,                0.00026,                0.00026
