                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.1639,                0.60212,                 0.9576,                0.94294,                0.91006,                0.96524,                0.63868,                  1.123,                0.54048,                0.96854,               0.001307,               0.001307,               0.001307
                     37,                  1.194,                0.61717,                0.95746,                0.93611,                0.89507,                0.96326,                0.65049,                 1.0762,                0.56292,                 0.9482,              0.0012872,              0.0012872,              0.0012872
                     38,                 1.1221,                0.58072,                0.93843,                0.94834,                0.91542,                0.97448,                0.66183,                 1.0773,                0.51827,                0.94811,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.1387,                0.58337,                0.94063,                0.94439,                0.90907,                 0.9637,                0.65381,                 1.0884,                0.53619,                0.95653,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.1641,                0.60078,                 0.9411,                0.95178,                 0.9015,                0.96755,                0.64216,                  1.119,                0.53884,                0.95647,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.1419,                0.59185,                0.94678,                0.95474,                0.92605,                0.97074,                0.65707,                 1.1033,                0.53114,                0.94993,               0.001208,               0.001208,               0.001208
                     42,                 1.1306,                0.57825,                0.94248,                0.94903,                0.91706,                0.96954,                0.65575,                 1.0787,                0.51014,                0.94497,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.1427,                 0.5847,                0.94256,                0.94899,                0.92612,                0.96984,                0.65507,                   1.09,                0.52148,                0.94953,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.1401,                0.57337,                0.93378,                0.93174,                0.93538,                0.97302,                0.66121,                  1.079,                0.51455,                 0.9454,              0.0011486,              0.0011486,              0.0011486
                     45,                  1.117,                0.56217,                  0.924,                0.95032,                0.92169,                0.97547,                0.67426,                 1.0604,                0.48877,                0.94338,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.1068,                 0.5607,                0.92941,                0.95806,                0.91221,                0.96983,                0.66855,                 1.0679,                0.49651,                0.94588,               0.001109,               0.001109,               0.001109
                     47,                 1.1203,                0.56192,                0.93972,                0.94231,                0.92291,                0.97064,                0.65823,                  1.072,                0.50905,                0.94639,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.1112,                0.55211,                0.92955,                0.93733,                0.92873,                0.97487,                0.65741,                 1.0695,                0.52837,                0.94952,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.1298,                0.56456,                0.93435,                0.94496,                0.91863,                0.96979,                0.67002,                 1.0594,                0.49435,                0.94428,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.0969,                0.55173,                0.92703,                0.95209,                0.93626,                0.97481,                0.65906,                 1.0789,                0.50855,                0.95038,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.1426,                0.56137,                0.93464,                0.95875,                0.93041,                 0.9704,                0.64222,                 1.1278,                 0.5251,                0.96489,                0.00101,                0.00101,                0.00101
                     52,                 1.1222,                0.54706,                0.93195,                0.94584,                0.93495,                0.97387,                0.66021,                 1.0849,                0.50433,                0.95827,              0.0009902,              0.0009902,              0.0009902
                     53,                  1.107,                0.54419,                0.93125,                0.94941,                0.92435,                0.97136,                0.67165,                 1.0532,                0.48581,                0.94269,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.0774,                0.52827,                0.92873,                0.94803,                0.92505,                0.97387,                0.65829,                 1.0622,                0.50957,                0.94336,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.1077,                0.54985,                0.92633,                0.94452,                0.94433,                0.97516,                0.67777,                 1.0407,                0.47769,                0.93736,              0.0009308,              0.0009308,              0.0009308
                     56,                 1.1284,                0.55329,                0.93235,                0.94672,                0.93215,                0.97125,                0.66757,                 1.0741,                0.50024,                0.95032,               0.000911,               0.000911,               0.000911
                     57,                 1.0958,                0.54163,                0.93324,                0.95777,                0.93041,                0.97749,                0.67517,                 1.0491,                 0.4833,                0.94088,              0.0008912,              0.0008912,              0.0008912
                     58,                 1.1057,                 0.5414,                 0.9257,                  0.955,                0.93362,                0.97785,                0.67332,                   1.06,                0.47957,                0.94467,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.0895,                0.53486,                0.92449,                0.95341,                0.92013,                0.97525,                0.66095,                 1.0633,                0.47945,                0.94324,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.0765,                0.53393,                0.92099,                0.92482,                0.94826,                0.97657,                0.67972,                 1.0437,                0.47928,                 0.9341,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.0736,                0.52455,                0.92114,                0.94884,                0.93319,                 0.9746,                 0.6708,                 1.0513,                0.48489,                0.93721,               0.000812,               0.000812,               0.000812
                     62,                 1.0838,                0.52792,                0.93335,                0.95746,                0.92398,                0.96772,                0.66979,                 1.0502,                0.47533,                0.93973,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.0833,                 0.5375,                0.92751,                0.95435,                0.93148,                0.97601,                0.66802,                 1.0666,                0.48837,                0.94381,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.0697,                  0.524,                0.92015,                0.95462,                0.92352,                 0.9739,                0.67428,                 1.0413,                0.48495,                0.94207,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.0613,                0.52496,                0.92332,                0.96187,                0.91649,                0.96637,                0.67726,                 1.0296,                0.47778,                0.93179,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.0567,                0.51869,                0.91782,                0.96178,                0.92077,                0.97387,                0.68001,                 1.0478,                0.47261,                0.93854,               0.000713,               0.000713,               0.000713
                     67,                 1.0731,                 0.5191,                0.91748,                0.95788,                 0.9252,                0.97693,                0.68055,                 1.0311,                0.47789,                0.93376,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.0653,                0.51654,                0.92079,                0.94545,                0.92779,                0.97022,                0.67284,                 1.0362,                0.47604,                0.93414,              0.0006734,              0.0006734,              0.0006734
                     69,                  1.064,                0.51598,                 0.9162,                0.96937,                0.90578,                0.97166,                0.65897,                 1.0707,                0.47871,                0.93836,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.0746,                0.52173,                0.91821,                0.96813,                0.92612,                0.97333,                0.67746,                 1.0318,                0.46959,                 0.9281,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.0864,                0.52144,                  0.923,                0.95726,                0.92934,                0.97576,                0.66062,                 1.0936,                0.47866,                 0.9568,               0.000614,               0.000614,               0.000614
                     72,                 1.0492,                  0.503,                0.91253,                0.94306,                0.93683,                0.97653,                0.67965,                 1.0374,                0.46923,                0.93057,              0.0005942,              0.0005942,              0.0005942
                     73,                  1.026,                0.49436,                0.91108,                0.94991,                0.93041,                0.97502,                0.66773,                 1.1075,                0.47904,                0.96253,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.0655,                0.51301,                0.91786,                0.95834,                0.93598,                0.97657,                0.67399,                 1.0502,                   0.47,                0.93301,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.0464,                0.50142,                0.91659,                0.94835,                0.92393,                0.96323,                0.66415,                 1.0428,                0.46768,                0.93413,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.0553,                0.51201,                0.91293,                0.95309,                0.93548,                 0.9719,                0.66199,                 1.0847,                0.47753,                0.95188,               0.000515,               0.000515,               0.000515
                     77,                 1.0665,                0.50909,                0.92043,                 0.9511,                0.93719,                0.97632,                0.67779,                 1.0459,                0.46773,                0.94069,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.0422,                0.49648,                0.91684,                0.94814,                0.93963,                0.96929,                0.66521,                 1.0351,                0.46366,                0.93376,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.0288,                0.49293,                0.90358,                0.95957,                0.92612,                  0.971,                0.67141,                 1.0568,                0.46313,                0.93505,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.0464,                0.49963,                0.90772,                0.95311,                0.93582,                0.97235,                0.67403,                 1.0504,                0.46005,                0.94151,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.0389,                0.49563,                0.90499,                0.96114,                0.92695,                0.97303,                0.67717,                 1.0444,                0.45821,                 0.9365,               0.000416,               0.000416,               0.000416
                     82,                 1.0347,                0.49603,                0.90943,                0.95617,                 0.9342,                0.97295,                0.68222,                 1.0464,                0.45899,                0.93628,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.0368,                0.48961,                0.90444,                0.96135,                0.93218,                 0.9718,                0.68785,                 1.0267,                0.45415,                0.93109,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.0225,                0.48969,                0.91787,                 0.9667,                0.93233,                0.97456,                0.68775,                 1.0222,                 0.4508,                0.92596,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0203,                0.48531,                0.90115,                0.95927,                0.93293,                0.97177,                0.67115,                 1.0563,                0.45858,                0.93616,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.0213,                0.48254,                0.90652,                0.96456,                0.93247,                0.97359,                0.68063,                 1.0315,                0.45008,                0.93156,               0.000317,               0.000317,               0.000317
                     87,                 1.0302,                0.48702,                0.90378,                0.96247,                0.93364,                0.97325,                0.67723,                 1.0371,                0.44957,                0.93063,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.0376,                0.48754,                0.90152,                0.95676,                0.93362,                0.97237,                0.68377,                 1.0268,                0.45182,                0.92929,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.0016,                0.47495,                0.90243,                0.95467,                0.92934,                0.97163,                 0.6751,                 1.0534,                0.45448,                0.93515,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.0163,                0.47494,                0.91119,                0.96306,                0.93041,                0.97309,                0.68029,                 1.0318,                0.44862,                0.92979,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.0004,                 0.4584,                0.91763,                0.96638,                0.92327,                0.97892,                0.68458,                 1.0209,                0.45293,                0.92916,               0.000218,               0.000218,               0.000218
                     92,                 1.0004,                0.45969,                0.90919,                0.95922,                0.93192,                0.97751,                 0.6828,                 1.0267,                 0.4604,                0.93622,              0.0001982,              0.0001982,              0.0001982
                     93,                0.97083,                0.44951,                0.90188,                0.95971,                0.92827,                0.97256,                0.68303,                 1.0088,                0.45027,                 0.9269,              0.0001784,              0.0001784,              0.0001784
                     94,                0.98011,                0.44545,                0.90867,                0.96762,                0.92771,                0.97786,                0.68623,                 1.0157,                0.44887,                0.93137,              0.0001586,              0.0001586,              0.0001586
                     95,                0.97354,                0.44354,                0.89906,                0.95402,                0.93311,                0.97335,                 0.6834,                 1.0132,                0.44677,                 0.9255,              0.0001388,              0.0001388,              0.0001388
                     96,                0.97316,                0.44487,                0.90403,                0.96565,                0.93148,                0.97784,                0.68526,                 1.0295,                0.44948,                0.93399,               0.000119,               0.000119,               0.000119
                     97,                0.96192,                0.44236,                0.90485,                0.96359,                0.93512,                0.97714,                0.68397,                 1.0148,                0.44528,                0.92759,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.97591,                0.44551,                0.90232,                0.96833,                0.93041,                0.97727,                0.68729,                 1.0102,                0.44393,                0.92594,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.95354,                0.43474,                0.89124,                0.96669,                0.93223,                0.97736,                0.68399,                 1.0207,                0.44363,                0.92954,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.94902,                0.43389,                0.89324,                0.96671,                0.93255,                0.97462,                0.68487,                 1.0192,                0.44218,                0.92812,               3.98e-05,               3.98e-05,               3.98e-05
