                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0277,                0.56876,                0.96045,                0.90189,                0.87204,                0.91824,                0.62446,                 1.0738,                0.59913,                0.99893,             0.00082925,             0.00082925,             0.00082925
                     36,                 1.0124,                0.55625,                0.95458,                0.94409,                0.86343,                0.93633,                0.64042,                 1.0689,                 0.5648,                  1.011,             0.00081688,             0.00081688,             0.00081688
                     37,                 1.0405,                0.57429,                0.96434,                0.92526,                  0.912,                0.95422,                0.64795,                 1.0893,                0.55848,                  1.018,              0.0008045,              0.0008045,              0.0008045
                     38,                 1.0099,                0.55252,                 0.9535,                0.89961,                0.90194,                0.94494,                0.63642,                 1.0743,                0.54286,                 1.0296,             0.00079213,             0.00079213,             0.00079213
                     39,                 1.0353,                0.55772,                 0.9636,                0.92589,                0.87594,                0.94315,                0.65088,                 1.0513,                0.54608,                 1.0047,             0.00077975,             0.00077975,             0.00077975
                     40,                 1.0256,                0.55683,                0.95658,                0.93991,                0.89431,                0.95569,                0.68383,                 1.0587,                 0.5255,                 1.0007,             0.00076738,             0.00076738,             0.00076738
                     41,                 1.0163,                 0.5484,                0.95438,                0.87017,                0.92704,                0.94009,                0.64959,                 1.0819,                0.54521,                  1.004,               0.000755,               0.000755,               0.000755
                     42,                  1.025,                0.54515,                0.95516,                0.91357,                0.91398,                0.94552,                0.67779,                 1.0425,                0.52767,                0.99325,             0.00074263,             0.00074263,             0.00074263
                     43,                 1.0137,                0.54906,                0.95184,                0.89782,                0.93123,                0.95135,                0.66084,                 1.1084,                0.61287,                 1.0238,             0.00073025,             0.00073025,             0.00073025
                     44,                0.98306,                0.52865,                 0.9497,                 0.9695,                0.89277,                0.97123,                0.66649,                 1.0563,                0.53086,                 1.0006,             0.00071788,             0.00071788,             0.00071788
                     45,                 0.9851,                0.52168,                0.94501,                0.90862,                0.93098,                0.96442,                0.65114,                 1.0845,                0.52472,                 1.0161,              0.0007055,              0.0007055,              0.0007055
                     46,                0.99069,                0.52425,                0.94574,                0.95666,                0.89764,                0.95192,                0.67215,                 1.0734,                0.52583,                 1.0189,             0.00069313,             0.00069313,             0.00069313
                     47,                0.98074,                0.51919,                0.94338,                0.86876,                 0.9128,                0.92127,                0.64639,                 1.0368,                0.53008,                 1.0007,             0.00068075,             0.00068075,             0.00068075
                     48,                 1.0011,                0.52685,                0.94799,                0.92585,                0.89791,                0.94681,                 0.6458,                 1.0547,                0.52666,                0.99773,             0.00066838,             0.00066838,             0.00066838
                     49,                0.98391,                0.52014,                0.94571,                0.92327,                0.92216,                 0.9581,                0.65975,                 1.0459,                0.49839,                0.99084,               0.000656,               0.000656,               0.000656
                     50,                0.97944,                0.51882,                0.94396,                0.92415,                0.91826,                0.94665,                0.65757,                 1.0593,                0.50324,                 1.0083,             0.00064362,             0.00064362,             0.00064362
                     51,                 1.0041,                0.52403,                0.95479,                0.95162,                0.87888,                 0.9539,                0.65526,                 1.0759,                0.53321,                 1.0113,             0.00063125,             0.00063125,             0.00063125
                     52,                0.96131,                0.50857,                0.94297,                0.94694,                 0.9052,                0.96268,                0.68536,                0.99879,                 0.4958,                0.97031,             0.00061887,             0.00061887,             0.00061887
                     53,                 0.9752,                 0.5074,                0.93643,                0.96973,                0.91952,                0.96737,                 0.6749,                 1.0227,                0.48322,                0.97425,              0.0006065,              0.0006065,              0.0006065
                     54,                0.95916,                 0.4961,                0.93304,                0.96199,                0.91442,                0.97253,                0.66161,                 1.0415,                0.50455,                0.99518,             0.00059413,             0.00059413,             0.00059413
                     55,                0.94816,                0.50271,                  0.936,                0.86887,                 0.9431,                0.93225,                0.65667,                 1.0302,                0.48611,                0.98886,             0.00058175,             0.00058175,             0.00058175
                     56,                0.95945,                 0.5031,                0.93363,                 0.8947,                0.88985,                0.92926,                0.61135,                 1.1214,                0.54654,                 1.0232,             0.00056938,             0.00056938,             0.00056938
                     57,                 0.9766,                0.50345,                0.93404,                  0.898,                0.93624,                0.96346,                0.66564,                 1.0802,                0.54083,                 1.0146,               0.000557,               0.000557,               0.000557
                     58,                0.95932,                0.50214,                0.94505,                0.93928,                 0.9251,                0.97312,                0.69406,                0.99857,                0.47594,                 0.9782,             0.00054463,             0.00054463,             0.00054463
                     59,                0.95803,                0.48856,                0.93458,                0.94989,                0.92822,                0.96576,                0.67363,                 1.0518,                0.51494,                 1.0128,             0.00053225,             0.00053225,             0.00053225
                     60,                0.98286,                0.50237,                0.93633,                0.96423,                0.90724,                0.96561,                0.68109,                 1.0197,                0.52492,                0.99135,             0.00051988,             0.00051988,             0.00051988
                     61,                0.93511,                0.48485,                0.92523,                0.91721,                 0.9384,                0.96492,                0.67948,                 1.0468,                0.51032,                0.99551,              0.0005075,              0.0005075,              0.0005075
                     62,                0.95081,                0.48959,                0.92612,                0.94253,                0.89902,                0.95899,                0.67672,                  1.027,                0.47979,                0.98722,             0.00049513,             0.00049513,             0.00049513
                     63,                0.94492,                0.48723,                0.92733,                0.93796,                0.93398,                0.96627,                0.68295,                 1.0473,                0.49565,                 1.0019,             0.00048275,             0.00048275,             0.00048275
                     64,                0.92157,                0.47547,                0.92862,                 0.9382,                0.92582,                0.96135,                0.67584,                 1.0261,                0.49651,                0.99436,             0.00047038,             0.00047038,             0.00047038
                     65,                0.96053,                0.48349,                0.92581,                0.93918,                 0.9555,                 0.9725,                0.68212,                 1.0056,                 0.4658,                0.97848,               0.000458,               0.000458,               0.000458
                     66,                0.94264,                0.48156,                0.92224,                0.90969,                0.94889,                0.96029,                0.68066,                 1.0409,                0.48415,                0.99682,             0.00044563,             0.00044563,             0.00044563
                     67,                0.92428,                0.46716,                0.92921,                0.94228,                0.93641,                0.97256,                 0.6926,                 1.0028,                0.46684,                0.97873,             0.00043325,             0.00043325,             0.00043325
                     68,                0.93099,                 0.4742,                0.92446,                0.94298,                0.93168,                 0.9736,                0.70514,                  1.016,                0.49031,                0.97936,             0.00042087,             0.00042087,             0.00042087
                     69,                0.93715,                0.46809,                0.91826,                0.93714,                0.92323,                0.96442,                0.70716,                 1.0144,                0.48252,                0.98024,              0.0004085,              0.0004085,              0.0004085
                     70,                 0.9219,                0.47358,                0.92758,                 0.9474,                0.93367,                0.96317,                0.69477,                 1.0332,                0.50361,                0.99252,             0.00039613,             0.00039613,             0.00039613
                     71,                0.91233,                0.46139,                 0.9213,                 0.9341,                0.90813,                0.95581,                0.68856,                 1.0125,                0.49947,                   0.99,             0.00038375,             0.00038375,             0.00038375
                     72,                 0.9242,                0.47018,                0.92422,                0.95288,                0.91546,                0.95813,                0.68468,                 1.0373,                0.50061,                 1.0005,             0.00037138,             0.00037138,             0.00037138
                     73,                0.90642,                0.45924,                0.91188,                 0.9274,                0.93539,                0.96661,                0.68999,                 1.0477,                0.49029,                 1.0054,               0.000359,               0.000359,               0.000359
                     74,                0.92375,                0.47408,                0.92482,                0.94919,                0.88346,                0.96372,                0.68608,                 1.0398,                0.49932,                0.99243,             0.00034663,             0.00034663,             0.00034663
                     75,                0.90667,                0.45689,                0.91574,                  0.923,                0.92843,                0.95746,                 0.6753,                 1.0324,                0.47533,                 0.9909,             0.00033425,             0.00033425,             0.00033425
                     76,                 0.9292,                0.46331,                0.91615,                0.96414,                0.95019,                0.98193,                0.70833,                 1.0171,                0.46325,                0.98442,             0.00032188,             0.00032188,             0.00032188
                     77,                0.90188,                0.44907,                0.91202,                0.94736,                0.94954,                0.97942,                 0.7135,                 1.0297,                 0.4653,                 0.9917,              0.0003095,              0.0003095,              0.0003095
                     78,                0.89723,                0.44693,                0.91168,                0.97034,                0.93679,                0.98016,                0.70255,                 1.0211,                0.45698,                0.98662,             0.00029713,             0.00029713,             0.00029713
                     79,                0.90406,                0.45125,                0.91293,                0.93663,                 0.9666,                0.97883,                0.70248,                 1.0088,                0.45312,                0.98104,             0.00028475,             0.00028475,             0.00028475
                     80,                0.91396,                0.45713,                0.91853,                0.96998,                0.93937,                0.97891,                0.70796,                0.99936,                0.45359,                 0.9759,             0.00027237,             0.00027237,             0.00027237
                     81,                0.87898,                0.44063,                 0.9149,                0.92611,                0.96174,                0.97361,                0.70284,                 1.0353,                0.49116,                0.99696,                0.00026,                0.00026,                0.00026
